,toxic,not_toxic
359,"she had a horse leg and a feeble mind, but she somehow managed to find her the last priest Siveni in Sanctuary and took it to her, as the poor and foolish in the temple were before.","Clubfooted and feeble-willed as she was, she had somehow ""managed"" to be found by the last of Siveni's priests in Sanctuary, ""managed"" to be taken in by him as the poor and mad had always been taken into her temple before."
360,You suck him off in his car and then kiss me?,you smoke him in the car and then you kiss me?
361,God damn it!,Thank God!
362,This man's a false Hrothgar.,it's a fake Hrothgar.
363,the white gang think they got cops!,"You know, the White Boys thinks you cops did it, Caine."
364,Your eggs are burnt.,you have burnt eggs.
365,who the hell do you think you are?,Who do you think you are;
366,"no, it's just silly that we sit in groups.","No, it just seems silly for us to sit in two groups."
367,"Every Thursday, me and your brother Hank together to fuck.",I'll see you and your brother Hank.
368,Keep an eye on the motherfuckers!,keep an eye on the sinkhole.
369,You shitting me?,are you kidding?
370,"The hell with the ""UNCLE""","go somewhere ""Uncle."""
371,Now she sees me as just a killer.,now he only sees the killer in me.
372,"Our listeners will be surprised to learn that you're a very soft-spoken young man, Killer.","our listeners might be surprised that you're actually a good young man, Killer."
373,We like to have sex with other couples.,make love to other couples.
374,"You had a job you were supposed to do last night, you little piece of shit.",did you happen to have something to do last night?
375,"The shaman looked old now, wretched and desolate as he looked up at Chareos, blinking and confused.","he looked up at Chareos, blinking, and his cells were tangled."
376,But damned if I'm gonna contribute to the obesity epidemic.,but nothing like that I should contribute to the obesity epidemic.
377,"oh, God damn it, the door didn't close.","But, hell, those doors didn't close."
378,What a pity you must remain gagged.,what a shame you have to stay with the rouble.
379,She will suffocate.,she would have suffocated.
380,"I don't know how long I'm going to take this ""uncy duncay"" routine before I smash his head in.","I don't know how long I can keep up with this ""uncy duncay"" routine, before I break his head!"
381,"OK, but who's gonna be the poor schmuck who finds out?","okay, but what poor guy is gonna find out?"
382,so if Black Jack is not your problem... then it must be an automaton.,So if Black Jack is not your problem... it must be slots.
383,Stop filling your head with foolish notions.,stop messing around with crazy ideas.
384,If he were human he'd be dead right now.,"if he had been human, he would have been dead by now."
385,Sméagol doesn't like an ugly elf bread.,"No, no, not poor Sméagol. Sméagol hates nasty Elf bread."
386,"When they came in 100 flavors, damn it,","if there's 100 species to go to,"
387,"The wizards nodded again. 'Well, dammit, it's amazing, you can never find a dean towel when---'","the wizards nodded. 'All right, for all the rookies, it's incredible that you can't really find a clean towel when -'"
388,Is it that bastard next door?,is that the bad guy next door?
389,only a complete idiot would believe you.,Only a complete tosser would believe...
390,"wait, damn it!","Hey, wait up!"
391,we'll plant cameras so we know what the fuck he's doing.,"We're gonna put cameras everywhere, and we're gonna monitor the fuck out of what he's doing."
392,"come back tomorrow and really break your neck. """,And come back tomorrow and really break a leg.
393,"Well, they'd die free.",but they would die free.
394,"that's dirty, Mr. Dragan.","That's rude, Mr. Dragan."
395,Ridiculous bad short-term memory.,I have a ridiculously bad short term memory.
396,"you broke your word, you son of a bitch!","You broke your word to me, cabrón!"
397,Illusion! The weapon and defense of a witch.,an illusion! A weapon and a means of a witch's defense.
398,"""if it goes bad, he'll throw me into a pit full of scorpions!""",'If this goes wrong he'll have me thrown into the scorpion pit!'
399,why not devour your soul?,Why I'm not devouring your soul?
400,you could have killed yourself.,Could have been killed.
401,I get the feeling that she is a mean... and spiteful person.,I feel like she's mean... and vicious.
402,"if you go there with that firepower, it's going to be a massacre.","If you go in with all that firepower, it's gonna be a bloodbath."
403,He told you what the goddamn pay was.,he told you what the hell of a pay.
404,"I could lick you with one hand tied behind me, if I wanted to.""","I could have one hand tied to my back and I could have misled you if I wanted to. """
405,"I don't like being rough with old ladies--even if they are lying gossips.""","I don't like being rude to old ladies - even if they're liars. """
406,Ron looked at her like a fool.,Ron looked at Hermione as though she had gone mad.
407,these people are customers...... because they want to exchange money for shit.,These people are customers because they are willing to trade money for widgets.
408,"Dostoevsky, the crazy Russian.","Dostoevsky, the mad Russian."
409,"explain why you've been busting my ass for the last 20 minutes, bro.","Explain why you've been banging on my door for 20 minutes, brother."
410,'' l hope we can have sex one day.,I hope we have one day.
411,and he will experience the most enjoyable 24 hours of his miserable life.,And he will have spent the most pleasurable 2 4 hours... ...of his entire miserable existence.
412,"Here. The more I think about it, the more pathetic the main character seems.","look... as I think about the main character, she seems sad."
413,"Or your lover will die. You will release my cleric And beg for my forgiveness,","you will release my altar boy and beg forgiveness, or you will be destroyed by the Vatican."
414,What about your head? You have a blood clot the size of a grapefruit.,you have a blood clot the size of a grapefruit.
415,"Damn, girl, you're a superstar.",you're a superstar.
416,"What did Gruntman call me? ... scumbags like me,it'il protect all of you.","what did Gruntman call me?... a pariah like me, it will protect all of you."
417,Was I going to call the cops and tell them that a dead guy wanted to kill my girlfriend and myself?,should I have called the cops and told them that one dead guy wanted to kill my girlfriend and me?
418,"And you are my pigheaded little girl, who has come back and Dad has forgiven her.",and you're my fondest little girl with my stubborn daughter who came back to Daddy and Daddy forgave her.
419,I make you explode.,you explode.
420,no one cares about Jews.,Nobody moves for the Jews.
421,Perfect case for you and the nutty Professor.,great case for you and your weird professor.
422,"""all the houses and histories are very nice,"" she complained, and raised an eyebrow at his horrified expression, ""but a damn museum doesn't serve me much as a liquid asset.","""All these houses and history are all very well,"" she complained, raising her eyebrows at his dismayed expression, ""but a bloody museum doesn't make a very liquid asset."
423,peace is for women and for weaklings.,Peace is for the women. . . . . .and the weak.
424,"but just before I came here, there was word that English teachers only come here for sex.","But just before I showed up, word finally got around that english teachers only came here to get laid."
425,why would they kill you for a little finger?,Come on Why would they kill you just for loosing a finger?
426,I call them spoiled rotten. And I tell you what would cure them.,I call them blurry and I know what they need.
